Year,Month,Day,TSU,EQ,Latitude,Longitude,VEI,DEATHS
1854,2,,,,32.88,131.1,2,3
1854,6,27,TSU,,50.858,155.55,3,
1856,3,2,TSU,,3.67,125.5,3,2806
1856,7,26,TSU,,54.75,-163.97,,
1856,9,25,,,42.07,140.68,4,20
1857,4,17,TSU,EQ,-5.589,147.875,,
1858,1,,,,13.257,123.685,2,
1858,4,23,,,36.57,137.6,,
1858,7,3,,,36.57,137.6,,
1860,4,,,,-8.108,112.92,2,
1860,8,18,,,14.473,-90.88,2,
1860,,,,,64.42,-17.33,,1
1861,5,7,,,13.58,41.808,3,106
1861,5,,,,64.42,-17.33,2,
1861,12,29,,,0.32,127.4,4,326
1863,8,17,TSU,EQ,-19.52,169.425,,
1864,1,3,,,-7.93,112.308,2,54
1866,2,20,,,36.404,25.396,2,1
1866,9,12,TSU,,-14.175,-169.618,2,
1867,10,21,,,38.15,140.45,2,3
1868,4,3,TSU,EQ,19.475,-155.608,2,
1868,9,5,TSU,EQ,37.734,15.004,,
1869,7,7,,,-8.53,122.775,2,2
1869,8,,,,-8,113.342,2,8
1870,8,,,,2.28,125.425,2,
1870,,,,,-15.4,167.83,2,
1870,,,,,-8.54,123.59,3,
1871,3,3,TSU,,2.28,125.425,2,
1871,4,30,TSU,EQ,9.203,124.673,2,
1871,8,7,,,0.8,127.325,2,1
1871,12,8,,,13.257,123.685,3,3
1872,4,15,,,-7.542,110.442,4,30
1872,4,17,,,-7.542,110.442,4,170
1872,4,24,,,40.821,14.426,3,9
1872,11,3,,,-7.542,110.442,4,200
1872,12,,,,32.88,131.1,3,4
1872,,,,,48.875,154.175,4,
1873,1,16,,,7.67,124.5,2,
1873,,,,,40.821,14.426,,9
1874,7,3,,,34.08,139.53,3,1
1874,7,19,,,14.002,120.993,2,
1875,1,29,,,-7.93,112.308,0,
1875,3,29,,,65.03,-16.75,5,
1875,,,,,13.257,123.685,,1500
1877,2,14,TSU,EQ,19.475,-155.608,0,
1877,6,25,,,-0.677,-78.436,4,340
1878,1,10,TSU,,-19.52,169.425,3,
1878,1,,TSU,,-4.271,152.203,3,1
1878,2,11,TSU,EQ,-19.52,169.425,,
1878,8,29,TSU,EQ,53.42,-168.13,2,
1879,2,4,TSU,,38.789,15.213,2,
1883,3,,,,-11.75,43.38,2,
1883,8,27,TSU,,-6.102,105.423,6,2000
1883,10,6,TSU,,59.37,-153.42,4,8
1883,10,10,TSU,,-6.102,105.423,,
1883,12,,,,-6.14,155.195,3,
1884,2,,TSU,,-6.102,105.423,,
1885,4,18,,,-8.108,112.92,2,74
1885,5,25,,EQ,2.32,-76.4,3,
1886,1,11,,,-1.467,-78.442,4,2
1886,6,10,,,-38.12,176.5,2,153
1886,8,31,,,-15.6,-175.63,4,
1887,3,9,,,13.257,123.685,3,15
1888,3,13,TSU,,-5.52,148.121,3,
1888,7,15,,,37.6,140.08,4,461
1889,9,6,TSU,EQ,3.138,125.491,2,
1890,6,29,,,0.32,127.4,2,
1890,,,,,-9.2,149.07,2,
1892,5,21,,,0.686,99.539,2,180
1892,6,7,TSU,,3.67,125.5,3,1532
1892,8,30,TSU,,-19.75,-175.07,2,
1893,1,7,,,-41.326,-72.614,4,
1893,5,19,,,37.73,140.25,2,2
1894,10,,,,-16.25,168.12,3,10
1895,5,22,,,-8.108,112.92,2,
1895,6,17,,,-4.649,145.964,2,1
1895,10,16,,,31.93,130.87,2,4
1895,,,,,-5.056,150.108,2,
1896,3,15,,,31.93,130.87,2,1
1897,3,26,TSU,,-10.38,165.8,2,
1897,5,23,,,13.257,123.685,3,350
1899,11,13,,,1.47,-76.92,4,55
1899,,,,,-4.1,145.061,2,2
1900,1,22,,,36.4,138.53,2,25
1900,2,16,,,31.93,130.87,2,2
1900,7,17,,,37.62,140.28,2,72
1900,,,,,8.158,39.13,,
1901,5,22,,,-7.93,112.308,3,
1901,8,9,TSU,EQ,-16.68,168.37,,
1902,5,5,TSU,,14.82,-61.17,,23
1902,5,7,TSU,,13.33,-61.18,4,1680
1902,5,8,TSU,,14.82,-61.17,4,28000
1902,5,20,TSU,,14.82,-61.17,,
1902,8,7,,,30.48,140.32,3,125
1902,8,30,TSU,,14.82,-61.17,4,1500
1902,10,25,,,14.756,-91.552,6,2500
1902,12,,,,-7.542,110.442,2,16
1903,8,30,,,-38.12,176.5,1,4
1903,,,,,-11.75,43.38,,17
1904,2,25,,,-11.75,43.38,2,1
1905,3,10,,,40.821,14.426,2,1
1905,8,4,TSU,,-13.612,-172.525,2,
1906,4,4,TSU,,40.821,14.426,3,350
1907,7,,TSU,,-21.38,-175.65,0,
1907,8,4,,,12.88,40.57,2,
1907,9,28,,,-8.53,122.775,2,1
1907,10,6,TSU,,-13.612,-172.525,,
1909,4,28,,EQ,4.203,9.17,2,
1909,9,,,,-8.108,112.92,2,221
1910,3,20,,,-38.82,176,,1
1910,7,25,,,42.53,140.83,2,1
1911,1,30,TSU,EQ,14.002,120.993,3,1335
1911,5,8,,,36.4,138.53,2,1
1911,8,15,,,36.4,138.53,2,
1911,11,3,TSU,,10,-61,,
1911,11,8,,,-8.108,112.92,3,
1912,9,6,,,58.27,-155.16,6,2
1912,12,3,,,-1.408,29.2,3,20
1913,1,20,,,19.514,-103.62,4,13
1913,3,14,TSU,EQ,3.67,125.5,2,
1913,5,29,,,36.4,138.53,1,1
1913,6,23,,,-8.108,112.92,2,
1913,12,6,,,-16.25,168.12,3,21
1914,1,12,TSU,EQ,31.58,130.67,4,28
1914,1,18,,,-5.58,150.52,3,
1914,9,10,,,-37.52,177.18,,11
1914,,,,,-15.4,167.83,,100
1916,3,3,,,-1.467,-78.442,4,
1916,7,3,TSU,,38.789,15.213,3,
1917,1,1,,,-2.751,35.902,3,
1917,4,1,,,-38.12,176.5,1,2
1917,4,,,,-41.326,-72.614,3,
1917,6,7,,EQ,13.736,-89.286,3,325
1918,7,18,TSU,,3.138,125.491,3,
1918,10,12,,,63.63,-19.05,4,
1919,2,19,,,19.023,-98.622,1,
1919,4,3,TSU,,3.138,125.491,,
1919,5,19,,,-7.93,112.308,4,5110
1919,5,22,TSU,,38.789,15.213,3,4
1919,7,6,,,37.12,139.97,,2
1919,9,29,TSU,,19.475,-155.608,0,
1920,7,25,,,-7.542,110.442,3,33
1920,10,29,,,13.813,-89.633,3,
1921,11,26,,,37.12,139.97,,1
1923,3,11,,,-7.32,107.73,1,1
1923,6,,,,-6.77,107.6,,3
1923,7,1,,,31.93,130.87,2,1
1924,5,10,,,19.425,-155.292,2,1
1926,5,24,,,43.42,142.68,3,144
1927,8,7,TSU,,-8.32,121.708,,
1927,9,5,,,64.27,-16.65,1,1
1928,1,23,,,36.404,25.396,2,48
1928,1,,,,13.257,123.685,3,
1928,3,28,TSU,,-6.102,105.423,,
1928,5,13,,,-7.2,109.92,2,40
1928,8,4,TSU,,-8.32,121.708,3,98
1928,11,2,,,37.734,15.004,1,5
1929,1,6,,,-41.326,-72.614,3,
1929,6,17,,,42.07,140.68,4,2
1929,8,2,,,37.734,15.004,2,2
1929,11,2,,,14.756,-91.552,3,200
1930,3,17,TSU,,-6.102,105.423,2,
1930,8,20,,,36.4,138.53,3,6
1930,9,11,TSU,,38.789,15.213,3,5
1930,12,18,,,-7.542,110.442,3,1369
1931,8,20,,,36.4,138.53,3,3
1932,1,21,,,14.473,-90.88,4,
1932,2,,,,-7.542,110.442,,
1932,10,1,,,36.62,138.55,3,2
1933,1,8,TSU,EQ,49.12,154.508,3,
1933,5,10,,,35.22,139.02,,1
1933,12,24,,,30.43,130.22,4,8
1933,12,25,TSU,,12.77,124.05,2,
1934,,,,,45.374,-121.694,,1
1936,2,,,,36.4,138.53,3,2
1937,2,9,,,-38.692,-71.729,2,3
1937,5,29,TSU,EQ,-4.271,152.203,4,507
1938,1,28,TSU,,-1.408,29.2,1,
1938,5,9,,,37.6,140.08,,2
1938,6,5,,,13.257,123.685,2,
1938,7,16,,,36.4,138.53,1,
1939,7,24,TSU,,12.3,-61.63,1,
1939,8,17,,,30.48,140.32,2,2
1939,10,13,,,-7.2,109.92,1,10
1940,6,20,,,2.78,125.48,2,1
1940,7,12,,,34.08,139.53,2,11
1940,7,24,,,-2.751,35.902,2,
1941,7,13,,,36.4,138.53,2,1
1941,9,21,,,-8.108,112.92,2,
1943,2,20,,,19.48,-102.25,4,3
1943,4,13,,,-0.9,-91.42,3,1
1944,3,27,,,40.821,14.426,2,27
1944,6,10,,,52.82,-169.95,3,1
1944,6,23,,,42.53,140.83,2,1
1944,8,20,TSU,,38.789,15.213,2,
1944,8,26,,,42.53,140.83,2,1
1944,12,4,,,-7.2,109.92,2,117
1946,1,,,,31.58,130.67,2,1
1946,2,,,,-8.108,112.92,2,6
1946,10,29,,,-8.108,112.92,2,
1946,11,13,TSU,,48.092,153.2,4,
1947,1,7,,,13.257,123.685,2,
1947,7,6,,,36.4,138.53,2,11
1947,9,16,,,36.53,139.18,,699
1947,11,2,,,63.98,-19.7,4,1
1948,4,7,,,-8.54,123.59,2,
1949,1,1,,,-39.42,-71.93,3,54
1949,5,26,,,2.32,-76.4,2,17
1949,6,,,,9.203,124.673,3,2
1950,8,28,,,-8.108,112.92,1,6
1950,9,15,,,9.203,124.673,3,68
1950,9,23,,,36.4,138.53,2,1
1951,1,21,,,-8.95,148.15,4,2942
1951,8,3,TSU,EQ,12.98,-87.57,,
1951,8,31,,,-7.93,112.308,3,7
1951,11,5,,,35.22,139.02,,2
1951,12,4,,,9.203,124.673,3,500
1951,,,TSU,,-9.02,157.95,2,
1952,3,27,,,35.22,139.02,,1
1952,9,16,TSU,,32.1,139.85,2,
1952,9,23,TSU,,32.1,139.85,2,
1952,9,24,TSU,,32.1,139.85,2,31
1952,9,26,TSU,,32.1,139.85,2,
1952,,,,,17.32,121.1,1,12
1953,3,11,TSU,,32.1,139.85,2,
1953,3,23,,,-7.542,110.442,3,64
1953,3,25,TSU,,32.1,139.85,2,
1953,4,27,,,32.88,131.1,2,6
1953,6,27,TSU,,-2.38,147.35,0,
1953,6,,,,-8.51,124.148,0,5
1953,7,26,,,35.22,139.02,,10
1953,10,5,,,34.73,139.38,1,1
1953,12,24,,,-39.28,175.57,,151
1954,2,,TSU,,38.789,15.213,,
1954,7,21,,,36.57,137.6,,1
1954,8,3,,,-3.6,144.85,2,
1954,,,,,9.203,124.673,,2
1955,7,26,,,-40.35,-72.07,4,2
1955,10,13,,,31.58,130.67,3,
1956,3,30,TSU,,55.978,160.587,5,
1957,3,11,,EQ,53.13,-168.68,2,
1957,7,,,,32.75,130.3,,13
1957,8,,,,34.73,139.38,2,1
1957,10,,,,32.88,131.1,2,12
1958,7,12,,,1.358,124.858,2,1
