Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time
Llaima,Chile-C,Chile,-38.692,-71.729,3125,Stratovolcano,Historical,D1
Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,Historical,D1
Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,Historical,D1
Lonquimay,Chile-C,Chile,-38.377,-71.58,2865,Stratovolcano,Historical,D1
Macauley Island,Kermadec Is,New Zealand,-30.2,-178.47,238,Caldera,Holocene,U
Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394,Stratovolcano,Holocene,U
Mahawu,Sulawesi-Indonesia,Indonesia,1.358,124.858,1324,Stratovolcano,Historical,D1
Makian,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,Historical,D1
Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,Historical,D1
Marapi,Sumatra,Indonesia,-0.381,100.473,2891,Complex volcano,Historical,D1
Masaya,Nicaragua,Nicaragua,11.984,-86.161,635,Caldera,Historical,D1
Mauna Loa,Hawaiian Is,United States,19.475,-155.608,4170,Shield volcano,Historical,D1
Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1
Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1
Michoacan-Guanajuato,Mexico,Mexico,19.48,-102.25,3860,Cinder cone,Historical,D2
Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,Historical,D1
Mombacho,Nicaragua,Nicaragua,11.826,-85.968,1344,Stratovolcano,Holocene,U
Mutnovsky,Kamchatka,Russia,52.453,158.195,2322,Complex volcano,Historical,D2
Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown
Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,Holocene,Unknown
Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time
Narugo,Honshu-Japan,Japan,38.73,140.73,462,Caldera,Historical,D6
Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,Historical,D2
"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,Historical,D1
Niigata-Yake-yama,Honshu-Japan,Japan,36.92,138.03,2400,Lava dome,Historical,D1
Niuafo'ou,Tonga-SW Pacific,Tonga,-15.6,-175.63,260,Shield volcano,Historical,D1
Novarupta,Alaska Peninsula,United States,58.27,-155.16,841,Caldera,Historical,D2
Nyamuragira,Africa-C,"Congo, DRC",-1.408,29.2,3058,Shield volcano,Historical,D1
Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,Historical,D1
Ofu-Olosega,Samoa-SW Pacific,United States,-14.175,-169.618,639,Shield volcano,Historical,D3
Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical,D1
Okmok,Aleutian Is,United States,53.42,-168.13,1073,Shield volcano,Historical,D1
Oku Volc Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,Radiocarbon,D5
On-take,Honshu-Japan,Japan,35.9,137.48,3063,Complex volcano,Historical,D1
Oraefajokull,Iceland-SE,Iceland,64,-16.65,2119,Stratovolcano,Historical,D4
Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,Historical,D1
Oshima-Oshima,Hokkaido-Japan,Japan,41.5,139.37,737,Stratovolcano,Historical,D4
Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,Historical,D1
Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,Historical,D2
Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,D1
Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,Historical,D2
Parker,Mindanao-Philippines,Philippines,6.12,124.892,1824,Stratovolcano,Historical,D5
Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,Historical,D2
Peuet Sague,Sumatra,Indonesia,4.914,96.329,2801,Complex volcano,Historical,D1
Pico,Azores,Portugal,38.47,-28.4,2351,Stratovolcano,Historical,D4
Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1
Piparo,Trinidad,Trinidad ,10,-61,140,Mud volcano,Historical,D1
Popocatepetl,Mexico,Mexico,19.023,-98.622,5426,Stratovolcano,Historical,D1
Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,Historical,D1
Puyehue,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,Holocene,U
Quilotoa,Ecuador,Ecuador,-0.85,-78.9,3914,Caldera,Radiocarbon,D6
Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,D1
Ragang,Mindanao-Philippines,Philippines,7.67,124.5,2815,Stratovolcano,Historical,D2
Raikoke,Kuril Is,Russia,48.292,153.25,551,Stratovolcano,Historical,D2
Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,Historical,D1
Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,Historical,D1
